1,2023-05-06T14:46:08.507Z,The simple dashboard feature is not working properly.,critical,The Nodeinator
2,2023-05-06T14:46:08.508Z,The serious dashboard feature is not working properly.,low,Commander Console
3,2023-05-06T14:46:08.509Z,The simple search feature is not working properly.,low,The Callback Kid
4,2023-05-06T14:46:08.509Z,The critical login feature is not working properly.,critical,The Nodeinator
5,2023-05-06T14:46:08.509Z,The minor payment feature is not working properly.,medium,Commander Console
6,2023-05-06T14:46:08.510Z,The complex payment feature is not working properly.,low,Codezilla
7,2023-05-06T14:46:08.510Z,The urgent payment feature is not working properly.,high,Captain Codebeard
8,2023-05-06T14:46:08.510Z,The complex dashboard feature is not working properly.,medium,The Nodeinator
9,2023-05-06T14:46:08.510Z,The serious search feature is not working properly.,high,Commander Console
10,2023-05-06T14:46:08.510Z,The critical dashboard feature is not working properly.,critical,The Nodester
11,2023-05-06T14:46:08.510Z,The complex profile feature is not working properly.,critical,Dr. Code Love
